dates,city,temp,latitude_city,longitude_city,whale_calving_suitable
DEC,"Bar Harbor, ME",44,44.3876119,-68.2039123,FALSE
JAN,"Bar Harbor, ME",38,44.3876119,-68.2039123,FALSE
FEB,"Bar Harbor, ME",36,44.3876119,-68.2039123,FALSE
MAR,"Bar Harbor, ME",38,44.3876119,-68.2039123,FALSE
APR 1-15,"Bar Harbor, ME",42,44.3876119,-68.2039123,FALSE
APR 16-30,"Bar Harbor, ME",45,44.3876119,-68.2039123,FALSE
MAY 1-15,"Bar Harbor, ME",47,44.3876119,-68.2039123,FALSE
MAY 16-31,"Bar Harbor, ME",51,44.3876119,-68.2039123,FALSE
DEC,Eastport ME,45,44.9061906,-66.9899785,FALSE
JAN,Eastport ME,40,44.9061906,-66.9899785,FALSE
FEB,Eastport ME,37,44.9061906,-66.9899785,FALSE
MAR,Eastport ME,38,44.9061906,-66.9899785,FALSE
APR 1-15,Eastport ME,39,44.9061906,-66.9899785,FALSE
APR 16-30,Eastport ME,41,44.9061906,-66.9899785,FALSE
MAY 1-15,Eastport ME,43,44.9061906,-66.9899785,FALSE
MAY 16-31,Eastport ME,44,44.9061906,-66.9899785,FALSE
DEC,Portland ME,39,43.6590993,-70.2568189,FALSE
JAN,Portland ME,34,43.6590993,-70.2568189,FALSE
FEB,Portland ME,33,43.6590993,-70.2568189,FALSE
MAR,Portland ME,37,43.6590993,-70.2568189,FALSE
APR 1-15,Portland ME,39,43.6590993,-70.2568189,FALSE
APR 16-30,Portland ME,41,43.6590993,-70.2568189,FALSE
MAY 1-15,Portland ME,47,43.6590993,-70.2568189,FALSE
MAY 16-31,Portland ME,51,43.6590993,-70.2568189,FALSE
DEC,Portsmouth Harbor NH,41,43.0795328,-70.7569976,FALSE
JAN,Portsmouth Harbor NH,40,43.0795328,-70.7569976,FALSE
FEB,Portsmouth Harbor NH,35,43.0795328,-70.7569976,FALSE
MAR,Portsmouth Harbor NH,37,43.0795328,-70.7569976,FALSE
APR 1-15,Portsmouth Harbor NH,41,43.0795328,-70.7569976,FALSE
APR 16-30,Portsmouth Harbor NH,45,43.0795328,-70.7569976,FALSE
MAY 1-15,Portsmouth Harbor NH,48,43.0795328,-70.7569976,FALSE
MAY 16-31,Portsmouth Harbor NH,52,43.0795328,-70.7569976,FALSE
DEC,"Boston, MA",42,42.3600825,-71.0588801,FALSE
JAN,"Boston, MA",40,42.3600825,-71.0588801,FALSE
FEB,"Boston, MA",36,42.3600825,-71.0588801,FALSE
MAR,"Boston, MA",41,42.3600825,-71.0588801,FALSE
APR 1-15,"Boston, MA",45,42.3600825,-71.0588801,FALSE
APR 16-30,"Boston, MA",49,42.3600825,-71.0588801,FALSE
DEC,Fall River MA,44,41.7014912,-71.1550451,FALSE
JAN,Fall River MA,37,41.7014912,-71.1550451,FALSE
FEB,Fall River MA,36,41.7014912,-71.1550451,FALSE
MAR,Fall River MA,41,41.7014912,-71.1550451,FALSE
APR 1-15,Fall River MA,47,41.7014912,-71.1550451,FALSE
APR 16-30,Fall River MA,51,41.7014912,-71.1550451,FALSE
MAY 16-31,Fall River MA,60,41.7014912,-71.1550451,FALSE
DEC,Woods Hole MA,41,41.5264977,-70.6730857,FALSE
JAN,Woods Hole MA,34,41.5264977,-70.6730857,FALSE
FEB,Woods Hole MA,35,41.5264977,-70.6730857,FALSE
MAR,Woods Hole MA,37,41.5264977,-70.6730857,FALSE
APR 1-15,Woods Hole MA,44,41.5264977,-70.6730857,FALSE
APR 16-30,Woods Hole MA,47,41.5264977,-70.6730857,FALSE
DEC,Conimicut Light RI,43,41.7169706,-71.3450747,FALSE
JAN,Conimicut Light RI,38,41.7169706,-71.3450747,FALSE
FEB,Conimicut Light RI,37,41.7169706,-71.3450747,FALSE
MAR,Conimicut Light RI,41,41.7169706,-71.3450747,FALSE
APR 1-15,Conimicut Light RI,46,41.7169706,-71.3450747,FALSE
APR 16-30,Conimicut Light RI,51,41.7169706,-71.3450747,FALSE
MAY 16-31,Conimicut Light RI,60,41.7169706,-71.3450747,FALSE
DEC,Quonset Point RI,43,41.5901015,-71.4042218,FALSE
JAN,Quonset Point RI,38,41.5901015,-71.4042218,FALSE
FEB,Quonset Point RI,37,41.5901015,-71.4042218,FALSE
MAR,Quonset Point RI,40,41.5901015,-71.4042218,FALSE
APR 1-15,Quonset Point RI,45,41.5901015,-71.4042218,FALSE
APR 16-30,Quonset Point RI,49,41.5901015,-71.4042218,FALSE
MAY 1-15,Quonset Point RI,51,41.5901015,-71.4042218,FALSE
MAY 16-31,Quonset Point RI,53,41.5901015,-71.4042218,FALSE
DEC,Newport RI,44,41.4901024,-71.3128285,FALSE
JAN,Newport RI,37,41.4901024,-71.3128285,FALSE
FEB,Newport RI,36,41.4901024,-71.3128285,FALSE
MAR,Newport RI,37,41.4901024,-71.3128285,FALSE
APR 1-15,Newport RI,44,41.4901024,-71.3128285,FALSE
APR 16-30,Newport RI,48,41.4901024,-71.3128285,FALSE
MAY 1-15,Newport RI,52,41.4901024,-71.3128285,FALSE
DEC,Providence RI,43,41.8239891,-71.4128343,FALSE
JAN,Providence RI,39,41.8239891,-71.4128343,FALSE
FEB,Providence RI,37,41.8239891,-71.4128343,FALSE
MAR,Providence RI,41,41.8239891,-71.4128343,FALSE
APR 1-15,Providence RI,46,41.8239891,-71.4128343,FALSE
APR 16-30,Providence RI,51,41.8239891,-71.4128343,FALSE
DEC,New Haven CT,47,41.308274,-72.9278835,FALSE
JAN,New Haven CT,42,41.308274,-72.9278835,FALSE
FEB,New Haven CT,36,41.308274,-72.9278835,FALSE
MAR,New Haven CT,40,41.308274,-72.9278835,FALSE
APR 1-15,New Haven CT,46,41.308274,-72.9278835,FALSE
APR 16-30,New Haven CT,50,41.308274,-72.9278835,FALSE
MAY 16-31,New Haven CT,60,41.308274,-72.9278835,FALSE
DEC,New London CT,42,41.3556539,-72.0995209,FALSE
JAN,New London CT,37,41.3556539,-72.0995209,FALSE
FEB,New London CT,37,41.3556539,-72.0995209,FALSE
MAR,New London CT,40,41.3556539,-72.0995209,FALSE
APR 1-15,New London CT,47,41.3556539,-72.0995209,FALSE
APR 16-30,New London CT,51,41.3556539,-72.0995209,FALSE
